0:02.6 - 0:03.6	Interviewer: Goedemorgen.	
8:55.4 - 9:04.5	T3NL: These well culture specific elements in the to come up with titles that were believable I thought was um was a challenge.	
9:07.1 - 9:08.9	T3NL: Especially for instance the.	
9:10.3 - 9:11.2	T3NL: Ethical.	
9:12.6 - 9:15.2	T3NL: Suicide studios.	
9:15.4 - 9:20.5	T3NL: mm hmm yeah also because I want, I want to try and keep the alliteration in there, but we didn't.	
9:20.6 - 9:22.0	T3NL: Because, in Dutch you can just.	
9:23.0 - 9:34.5	T3NL: Stick words together, so you lose sort of the alliteration as well, but also the all word of the to come up with the correct word for room was.	
9:36.0 - 9:43.0	T3NL: was a bit challenging because it's not the room, and it is a room but it's implies more but studio is something different in Dutch and then.	
9:43.6 - 9:58.2	T3NL: So it was at some point talking to one of my one of the people in my office about this, and she said something like can you use "vertrekken" and "vertrekken" is a sort of a fancy word for a room, but "vertrekken", can also means to leave.	
9:58.3 - 9:58.9	Interviewer: yeah, to exit.	
9:59.0 - 10:07.7	T3NL: yes so um so in the end I use that one so "Ethische Zelfdodingsvertrekken".	
10:09.4 - 10:16.8	T3NL: And also things where it's like hostess we don't have a word for that in Dutch, so I had to come up with a description, that is.	
10:18.5 - 10:20.2	T3NL: So now it was more like a.	
10:24.6 - 10:43.9	T3NL: Someone who guides you through something, but we only actually we only while the word hostess the the Dutch word, for that is only sort of us when you're throwing a party or something so I had to come up with something else that would fit the description.	
10:43.9 - 10:44.5	and	
10:45.6 - 10:50.8	T3NL: Make it sort of like a a job description, instead of a sort of social.	
10:51.0 - 10:54.8	Interviewer: And how do you call the ones that are in the in the planes.	
10:56.0 - 10:56.8	T3NL: Sorry in the?	
10:57.0 - 10:59.6	Interviewer: An air hostess how do you call them?	
11:00.2 - 11:01.2	T3NL: The stewardess.	
11:02.1 - 11:02.9	Interviewer: in Dutch?	
11:03.1 - 11:04.6	Interviewer: Yes, okay.	
11:05.0 - 11:09.9	T3NL: And a hostess is a "gastvrouw" so a guest woman.	
11:10.4 - 11:16.4	Interviewer: yeah yeah, but I think it's more stewardess more the person that helps you.	
11:16.5 - 11:21.5	T3NL: yeah so I made it into a "begeleidsters" so someone who shows you around and.	
11:21.5 - 11:23.1	T3NL: helps you fix things and.	
11:23.5 - 11:35.6	T3NL: Well, basically it's like a teacher or not like a teacher, you can "begeleidster", "begeleiders", so we have the Dutch or the male and female affixes and I chose also when she when she.	
11:36.4 - 11:46.3	T3NL: wants he's trying to find where she wants to be in a painting I use, I had the the painter use old female affixes, so I didn't say not general.	
11:47.0 - 11:57.5	T3NL: So the cutter, or the sniper or but I did use female affixes, and that is that is one of the hardest things in Dutch actually when do you use an affix.	
11:58.2 - 12:15.0	T3NL: The general affixes so that's the male affix, which is sort of general and then the female is the to point to point out that it's female and I tend to do that less and less than my translations actually because sometimes I find it puts too much.	
12:16.3 - 12:21.6	T3NL: stress on the fact that this is about females are instead of people in general.	
12:23.4 - 12:32.2	Interviewer: It happened there with their words doctor and nurse, at least in in in Catalan.	
12:32.5 - 12:51.4	Interviewer: and in Spanish, you have this problem that people tend to use the generic feminine for nurse and the generic masculine for for doctor which is a bit stereotyping and so did you have that problem as well or.	
12:51.4 - 12:53.3	Interviewer: or in Dutch do you have generics?	
12:53.8 - 13:08.1	T3NL: We have not... doctor is actually generic in Dutch, so we don't it doesn't get a female affix and nurse, you have "zuster", which is a female nurse, and that is what people tend to say, but we also have the word "verpleiger" well "verpleegkundigen".	
13:10.1 - 13:23.3	T3NL: which you can abbreviate to "verpleiger" which is male and "verpleegester" which is female so I went for but I chose because it's a man coming down the hall, and I made it to "verpleeghulp" so that's and aid.	
13:24.2 - 13:25.8	Interviewer: an aid yeah.	
13:26.2 - 13:28.7	T3NL: And that is again a generic word.	
13:31.0 - 13:35.0	T3NL: But I have, I often come across nurses in my.	
13:36.1 - 13:38.7	T3NL: Translations but it's often at a.	
13:40.6 - 13:43.9	T3NL: In also in the birthing.	
13:45.3 - 13:51.4	T3NL: Center or something like that, but most of the time it's women so when I can I because.	
13:52.9 - 14:06.4	T3NL: We tend to we still tend to say in idiomatically, we can say "zuster", so the female form unless unless you need to unless you can specify and then we say "verpleegkundigen".	
14:07.5 - 14:14.9	T3NL: Depending on context I choose what I need for that, but for the for the painting, I chose a general generic word.	
14:15.4 - 14:15.9	Okay.	
14:17.0 - 14:21.1	Interviewer: And what about the names of the characters did you ponder about that?	
14:22.4 - 14:26.6	T3NL: No, I, I think that in Dutch tradition is.	
14:28.9 - 14:30.9	T3NL: it's it's not to change.	
14:32.1 - 14:47.4	T3NL: The names unless it's children's literature literature and I could do the word play on Duncan I could do it in Dutch so so the painter says you so you dunk people and.	
14:48.6 - 14:50.2	T3NL: I turned it into so you.	
14:51.9 - 15:04.5	T3NL: I use a euphemism for kill, so you kill people to your own "goed-dunken" and "dunken" to your your own that is basically to your own judgment, so I could still.	
15:06.1 - 15:10.7	T3NL: Put a hyphen in there, so it would sort of set the word off from there.	
15:11.1 - 15:12.4	T3NL: But I could still use it.	
15:12.6 - 15:22.0	Interviewer: yeah okay and and you mentioned as well and that the word that you had to be very creative in this text.	
15:22.2 - 15:28.1	Interviewer: yeah and you used the word creative.	
15:28.6 - 15:45.6	Interviewer: yeah So my question is where would you say, maybe you have mentioned it already right but to summarize Where would you say you have to be more creative and how would you define creativity in translation.	
15:46.4 - 15:47.1	T3NL: Well yeah well.	
15:47.2 - 15:53.8	Interviewer: Considering that there is no right or wrong answer, how would you explain it to somebody?	
15:55.3 - 15:56.0	T3NL: Oh.	
15:57.5 - 16:03.8	T3NL: Well i've read a lot of theories about translation and one of my.	
16:05.3 - 16:15.8	T3NL: What I tried to do is give the Dutch reader the experience I would think the reader of the original text would have someone who would fully understand the original language.	
16:17.4 - 16:18.0	T3NL: So.	
16:20.6 - 16:21.8	T3NL: You have to find out it.	
16:23.0 - 16:31.6	T3NL: Or, I had to work out is it in in in plot, or is it in form or syntax or is it the.	
16:36.8 - 16:40.6	T3NL: Where basically where where did the writer put his.	
16:41.9 - 16:42.3	T3NL: or.	
16:43.6 - 16:44.6	T3NL: How do you you say that.	
16:46.6 - 16:50.4	T3NL: Where did the writer put his hooks sort of.	
16:50.4 - 16:55.4	T3NL: I tried to find those and then see if I if the.	
16:56.8 - 16:57.4	T3NL: If I would.	
16:58.5 - 17:03.7	T3NL: sort of translated dry *** but it was still there, and if not, I had to try and find a way to put a hook in the.	
17:04.8 - 17:15.0	T3NL: In the in the translation as well, so that you sort of catch the reader or it gets the attention of the reader on a certain phrase I think um.	
17:19.4 - 17:20.1	T3NL: let's see.	
17:22.9 - 17:24.3	T3NL: What creativity was.	
17:27.4 - 17:28.4	Interviewer: The question is.	
17:29.8 - 17:31.9	Interviewer: How would you define creativity.	
17:32.1 - 17:32.8	T3NL: How would I define.	
17:34.1 - 17:35.7	T3NL: Okay, oh i'm.	
17:36.1 - 17:37.5	Interviewer: In translation right.	
17:37.6 - 17:37.7	Not in writing.	
17:39.0 - 17:40.9	T3NL: would have to be able to.	
17:45.2 - 17:47.7	T3NL: Try and interpret how.	
17:48.7 - 17:58.8	T3NL: The writer would have said it had he been Dutch so not what is he saying in English, but how would he have said it had he been Dutch so.	
18:01.0 - 18:04.7	T3NL: I think there was a lot of a lot of it wasn't tone, I think.	
18:05.1 - 18:14.0	T3NL: The one that was also what what people are saying, but also you could distill from the source text the way they were saying it.	
18:14.5 - 18:28.3	T3NL: So that is very that has a lot of effect on how you build up your sentences in Dutch, so not you don't just follow the source text but it's really like okay he's trying to convey a message here.	
18:29.9 - 18:30.8	T3NL: So.	
18:33.7 - 18:35.9	T3NL: Do we even use this phrasing.	
18:37.8 - 18:56.0	T3NL: And that is where you sort of let go of the source text and you start to hover above it, I think, and then go through your mind and through the Internet, and through every resource that you have to see what, how do we actually say this in Dutch, and I think that is where you.	
18:57.0 - 19:03.5	T3NL: where you are, at the same time you trying to be creative but you're also trying to be reflective instead of constantly working on your reflex.	
19:04.7 - 19:06.7	T3NL: which I think is very hard, when you are.	
19:07.8 - 19:14.1	T3NL: I think it's harder to be creative when you are doing the post-editing because you've already been served with.	
19:16.5 - 19:19.0	T3NL: A piece of language, that you.	
19:20.4 - 19:23.4	T3NL: So your interpretation is already.	
19:24.6 - 19:37.4	T3NL: Halfway filled in for you, instead of you coming up with your own interpretation and trying to figure out if it's the correct interpretation you already get a piece of interpretation and that that starts to.	
19:40.6 - 19:42.2	T3NL: That takes, I think it takes.	
19:43.3 - 19:53.4	T3NL: away a bit from what you would do what you would normally do, and it can it can be very helpful, but it can also be a very big trap I think so um.	
19:53.5 - 19:55.1	Interviewer: So, how was it helpful?	
19:56.3 - 19:57.3	T3NL: um.	
20:00.1 - 20:02.9	T3NL: Well What surprised me was that some in some.	
20:04.9 - 20:07.5	T3NL: Some of the machine translations that.	
20:09.8 - 20:18.4	T3NL: The syntax being completely turned around or a sentence had been made passive instead of active, where it was active in the source stack so I thought okay that.	
20:21.0 - 20:29.6	T3NL: The the corpus that this machine translation is sort of getting its information from his must be really, really wide if he knows how to.	
20:31.3 - 20:46.2	T3NL: How to turn a sentence around, and I mean i'm teaching, so I i'm actually teaching my students to turn sentences around and sometimes it's it is more idiomatic in Dutch, to use a passive, whereas an active in form in Dutch.	
20:47.2 - 20:51.0	T3NL: But at the same time, like I said earlier, is that it's it's.	
20:53.8 - 20:55.2	T3NL: It also feeds you.	
20:56.8 - 20:59.1	T3NL: Solutions or translations that are not.	
21:01.7 - 21:07.7	T3NL: correct, but you can't put your finger on it, and then I think you start to to look for false instead of.	
21:08.8 - 21:10.0	T3NL: Trying to.	
21:11.1 - 21:13.7	T3NL: Instead of going back to the source text and then.	
21:15.1 - 21:16.4	T3NL: Work from that you start to.	
21:16.4 - 21:18.9	T3NL: work from the translation actually.	
21:20.0 - 21:20.8	T3NL: So.	
21:22.8 - 21:26.3	T3NL: So that is what I was in my first post-editing round.	
21:26.8 - 21:36.1	T3NL: I was really focused on the existing translation and then, then the second one I started, I was more focused on the.	
21:37.1 - 21:42.5	T3NL: source sex and at some point you just when when you when you think okay now it's sort of.	
21:43.1 - 21:52.8	T3NL: i'm the meaning I the meaning is OK, then I go back to just the translation and I just and then and I really felt Okay, how do you say this and.	
21:53.2 - 22:07.1	T3NL: I know what he means I know where what they trying to convey, but this is not completely to my liking in Dutch there's too much English sort of seeping through either in context or and syntax or in word choice or.	
22:08.4 - 22:09.8	T3NL: yeah things like that.	
22:11.2 - 22:13.0	Interviewer: So you mentioned.	
22:17.2 - 22:24.8	Interviewer: that this was a big different this translating process, but can you explain a little bit how.	
22:26.1 - 22:35.9	Interviewer: How was your translation process here, like, for example, what i'm trying to say say what you were explaining like do you read English first and do you look.	
22:36.4 - 22:51.6	Interviewer: You know, some people read first the source text look at vocabulary, that is, start translating other people start translating they don't even read the English and then they read English, you know what is your process, how do you do it, how did you work this translation.	
22:52.1 - 23:05.8	T3NL: I always try to read the source text first with an open mind, but I always start making notes on my first reading, even if I don't want to I can, because some things pop into your head and i'm afraid that they won't come back.	
23:06.2 - 23:23.6	T3NL: Like, for instance, this oh That was what the song is in there, so the first time I translated I just wrote out this song, it was brilliant and I I I close the file and I opened it the wrong way so everything was gone and I couldn't get it back, I have no idea I.	
23:23.6 - 23:25.5	T3NL: mean so on the sentences were still sort of.	
23:25.5 - 23:37.0	T3NL: yeah I go, I know I did that I had no idea what this and this brilliant rhyme scheme, I mean, I still have a rhyme scheme but it's not as good as the first one, and I just couldn't come up with it anymore.	
23:37.6 - 23:39.2	T3NL: Though um.	
23:39.9 - 23:48.4	T3NL: yeah so there's I always read the source text first and make a few notes and then I just start at the beginning and.	
23:51.5 - 24:06.5	T3NL: Basically, work to the end, so when I finished the translation, I immediately continue with the post-editing, because then, I want to maintain that flow of the texts and see if I if if I have the right flow actually so.	
24:08.0 - 24:17.2	T3NL: Also, the my own editing rounds I just I would go back to my translation and once I finished it, I would again go back to the post editing and.	
24:19.5 - 24:22.6	T3NL: Yes, i'm a very chronological translator.	
24:23.1 - 24:26.2	Interviewer: And then do you review?	
24:26.3 - 24:32.2	Interviewer: Or how do you approach the review, do you let it rest, do you how do you how do you work that out.	
24:32.6 - 24:42.3	T3NL: I, my first translations always quite crude, I think, and that is what I didn't like because normally I put like three or four different options.	
24:42.7 - 24:50.3	T3NL: In my translation I just use boards and slashes or sometimes good things in square hooks to see maybe I want I just think this is.	
24:50.9 - 25:02.3	T3NL: redundant information which I don't really need in Dutch and, but I find it found hard to use that in the in the in the software programs so um so that was or something I just put.	
25:03.4 - 25:06.0	T3NL: comments in there as well just.	
25:07.3 - 25:10.0	T3NL: To see what other options, I will have or different.	
25:11.9 - 25:20.8	T3NL: different lines of thought, maybe So for me that was not working in a normal Word file that was made it a bit harder um.	
25:22.0 - 25:22.9	T3NL: But.	
25:24.2 - 25:28.8	T3NL: So my first version is always quite crude with a lot of.	
25:30.3 - 25:52.1	T3NL: Extra options in it, and a lot of questions to myself questions to that I need to ask native speakers or questions that I might need to ask the writer, if there is a possibility for that so um yeah I think my first ones nation might be like I don't know 30% longer than be final.	
25:53.6 - 25:56.4	T3NL: Final work um.	
25:58.3 - 26:07.0	T3NL: yeah it's basically but I once I have the first translation finished, I put it away and I went back, I think, after two days.	
26:07.5 - 26:18.9	T3NL: And then I did editing and I put it away again, so I let it rest for another two days and did another round of editing the way again and then something something POPs in my head and I open everything again because.	
26:21.2 - 26:25.4	T3NL: You just need to change something so I think I had about four or five rounds.	
26:25.7 - 26:36.9	T3NL: And then certain certain segments that I had already on the I made some notes on the on the I printed them out, so I made some notes to to.	
26:37.8 - 26:53.0	T3NL: with different lines of thought man as well, for instance with the whole ethical suicide studios so I was looking at different words for suicide different word for studios different well also for ethical, even so, so some.	
26:54.3 - 26:56.1	T3NL: Problems i'll just have them.	
26:57.4 - 27:03.4	T3NL: write them down in different in a separate file and just chew on them for a while.	
27:05.6 - 27:06.3	Interviewer: and	
27:07.4 - 27:19.8	Interviewer: I was going to ask you if, after this processing in this case, are you satisfied with the translation that you did, are you satisfied with your final.	
27:21.3 - 27:22.2	T3NL: I have never satisfied.	
27:24.3 - 27:34.9	T3NL: i'm satisfied for now like normally and once it's after i've handed it in it will go to an editor and they will send it to me and then.	
27:35.9 - 27:48.9	T3NL: i'm not allowed to make too many changes but generally I do and it isn't until the final round and i'm really not allowed to make any real changes unless there are real mistakes in there, but because there's more time.	
27:50.7 - 27:55.1	T3NL: there's like a few weeks in between them, so you really have time to let it sort of rest and.	
27:56.9 - 28:03.7	T3NL: Even disappear from your mind for a bit, and I was this was sort of constantly at the back of my mind so um.	
28:04.6 - 28:20.7	T3NL: So you can't really sort of look at it from a distance anymore, and I think that that really worked for me, and I know that this, especially when you have I just got this this question about if I could do a our translation just now and I don't have time, but I was thinking.	
28:22.5 - 28:29.5	T3NL: I don't even want to do it in one day because I want to be able to go back and go back to the text and then look at it again with a fresh or.	
28:30.5 - 28:46.4	T3NL: With a fresh view, basically, so I am I, what I do, I read the entire translation, including post-edited part to myself twice us to see if, once if I stumble while reading it out loud.	
28:47.0 - 28:55.0	T3NL: Then I know I need I need to change something, but I asked you, I had to laugh a few times as well, so, then I think okay I got a few things right.	
28:55.7 - 28:58.1	Interviewer: Right right that's a good indicator.	
28:58.4 - 29:01.9	Interviewer: yeah and also, you mentioned that.	
29:04.2 - 29:11.1	Interviewer: Sometimes you were surprise, a day, then the proposals from the machine.	
29:11.3 - 29:17.1	Interviewer: yeah So my question is, what did you think of the MT proposals.	
29:18.3 - 29:23.0	T3NL: And what I also found surprising, was it wasn't consistent.	
29:23.6 - 29:30.8	T3NL: Like, for instance triplets which is "drieling" in Dutch, it said triplets the first few times and then suddenly came up with "drieling".	
29:32.5 - 29:43.9	T3NL: And sometimes if it seemed like the machine translation use the right context to interpret and sometimes it completely miss context, so the meaning.	
29:44.2 - 29:55.4	T3NL: Of the sentence on its own would work, for instance, when he shoots Leora he says room for two but it hasn't been translation as a room like a hotel room for.	
29:55.4 - 29:56.5	T3NL: Two in Dutch.	
29:56.7 - 29:57.2	So.	
29:58.7 - 30:09.4	T3NL: That would be like semantically if it's a perfectly correct translation, but in the context it doesn't work at all we limited space sort of and.	
30:10.8 - 30:17.6	T3NL: So I I thought the level of machine translation was.	
30:20.0 - 30:26.7	T3NL: I think if you leave it like this, people would know it was a machine translation, but.	
30:28.6 - 30:38.7	T3NL: Isolated sentences, a lot of them do work, but in the contract as a story as a whole, it is there is not enough.	
30:41.3 - 30:44.1	T3NL: Coherence I think so.	
30:47.9 - 30:52.6	T3NL: Well, ended up for post-editing you, you know the context, so you can work with that, but.	
30:53.9 - 31:01.2	T3NL: If you were to use this to translate a novel I think as opposed editor you would have a lot of work and think I wish I translate it myself.	
31:03.7 - 31:08.8	Interviewer: Oh, so how, how do you think this post-editing.	
31:09.8 - 31:14.6	Interviewer: Affected your creativity what, what do you think this impact is?	
31:17.0 - 31:19.2	Interviewer: On your creativity in particular.	
31:21.0 - 31:28.9	T3NL: I think it actually showed me things that I would never think of myself, because it always tend to think outside of the box, instead of inside the box.	
31:29.2 - 31:43.2	T3NL: So sometimes it is as easy as it seems most times I actually have this this quote this quotation on a on a title which that says turn everything into a problem.	
31:43.8 - 31:54.3	T3NL: And because my teacher at the university used to tell that to me and then my my sister had to put on the title and I after two years, I took the title down because I turned everything into a problem not just my work.	
31:56.8 - 31:57.3	T3NL: But.	
31:57.4 - 31:58.3	So.	
31:59.6 - 32:00.6	T3NL: mmm.	
32:01.8 - 32:13.2	T3NL: It I don't know if it fooled me sometimes that it can be as simple as it seems, or that it actually is it's certain phrases are as simple as they seem.	
32:14.3 - 32:21.2	T3NL: But, for instance, the the name of the the painting of the mural the happy garden of life.	
32:22.2 - 32:27.2	T3NL: which I thought was surprising I didn't use the Dutch general word for garden and which is "tuin".	
32:28.6 - 32:45.7	T3NL: "tuin", but like both myself and then I found in translation, as well used "hof", which refers to the biblical garden sort of even if "hof" it's not biblical but it's the more archaic word of saying is and it and, in this context, I thought okay it's more "hof".	
32:46.7 - 32:50.6	T3NL: than "tuin" because so people will have this reference to this whole sort of paradise.	
32:52.4 - 32:57.3	T3NL: idea, so I was surprised that the translation actually came up with that.	
32:58.2 - 33:02.1	Interviewer: The machine translation, yes, .	
33:02.2 - 33:11.8	T3NL: So not the generic and much more often used word of "tuin", but the more specific and sort of archaic word "hof" so.	
33:11.9 - 33:13.0	Interviewer: Because this.	
33:14.8 - 33:25.1	Interviewer: sentence in in the English text, it appeared in the beginning, and then in your PE so first you translated as "tuin", and then, when you found.	
33:25.2 - 33:25.5	T3NL: "hof".	
33:26.1 - 33:27.8	T3NL: I translated it as "hof" as well.	
33:29.2 - 33:31.5	Interviewer: yeah it coincided with you.	
33:31.6 - 33:44.6	T3NL: yeah yeah and I would have never thought that the machine translation would choose "hof" for that I would thought thing that they would usethe ordinary words "huis","tuin", "keuken",  so house, kitchen, garden word for it so that's just generic.	
33:46.9 - 33:59.0	T3NL: And it didn't it used the more archaic biblical it sort of came up with this context there, even though there was no reason for this machine translation, to put it in this context, I think.	
34:00.0 - 34:02.0	Interviewer: Maybe you know we did say.	
34:03.1 - 34:05.9	Interviewer: A the uppercase system that.	
34:06.3 - 34:07.2	Interviewer: yeah you.	
34:07.4 - 34:10.7	T3NL: could be that and that is because we don't use these upper cases in Dutch.	
34:11.1 - 34:12.6	T3NL: hmm no.	
34:13.8 - 34:15.4	Interviewer: One wanted to ask you.	
34:15.5 - 34:18.1	Interviewer: And you sort of mentioned this.	
34:19.1 - 34:35.1	Interviewer: Earlier, you said that the readers will know this is machine, so my question is if the readers were to have a text that was only machine translated the full text yeah.	
34:36.4 - 34:41.2	Interviewer: And another text that was fully human.	
34:42.4 - 34:45.2	Interviewer: And another text that was post-edited.	
34:46.3 - 34:48.5	Interviewer: So three modalities.	
34:48.6 - 34:54.2	Interviewer: yeah, what do you think the impact would be on the reader of these texts.	
34:55.0 - 34:56.6	T3NL: When they read all three of them.	
34:58.8 - 35:00.8	Interviewer: separately, obviously, but yeah.	
35:03.0 - 35:09.4	T3NL: I think that the machine translation will have less impact.	
35:12.5 - 35:13.7	T3NL: contents wise.	
35:14.8 - 35:26.6	T3NL: Because it is well the context it gets is it strength, both from the form and syntax and idiom and I think the machine translation is a bit too.	
35:28.4 - 35:34.4	T3NL: Rigid for that to make it a book it it's almost like it's it's.	
35:37.3 - 35:38.2	T3NL: um.	
35:40.4 - 35:41.4	T3NL: it's like.	
35:45.3 - 35:50.8	T3NL: Well, I think it lacks a bit of creativity to make make it believable so it's.	
35:52.1 - 35:59.2	T3NL: it's more like stating facts then then turning the facts into a story and.	
36:01.0 - 36:04.6	T3NL: The machine translation, it was a lot better than I had expected.	
36:06.8 - 36:11.4	T3NL: Though, but I think that it misses the.	
36:12.4 - 36:16.9	T3NL: sort of the edge, we say "shoe" in Dutch, so the sort of.	
36:20.2 - 36:24.2	T3NL: how do you say that it's like "de smeermiddel".	
36:25.6 - 36:27.0	Interviewer: The "nuances".	
36:27.4 - 36:28.8	Interviewer: the naunces.	
36:28.9 - 36:32.2	T3NL: yeah but also it's sort of a things that make it sort of.	
36:37.7 - 36:39.9	T3NL: Like give it a certain flow, I think.	
36:41.1 - 36:53.8	T3NL: And also, and that is one of the most the hardest things I think like it doesn't use these into these sort of meaningless words that we inject everywhere in Dutch.	
36:54.2 - 36:56.5	T3NL: So it becomes quite staccato.	
36:57.7 - 37:10.4	T3NL: We use like "hoor", "wel", "eigenlijk" completely meaningless words but we interject them in language, and that is what sort of gives it gives them more natural feel.	
37:10.8 - 37:24.8	T3NL: When it's not sort of narrators language, I think, but when it's a person's thoughts or a person spoken language, and I think to a reader, it would be... the machine translation would be too dry in this aspect.	
37:27.4 - 37:31.8	T3NL: i'm hoping that in my post-editing I that the.	
