0:02.6 - 0:04.9	Interviewer: So we are recording now Hello.	
3:38.2 - 3:38.7	Yes.	
3:39.9 - 3:40.1	R3CA: yeah.	
3:41.5 - 3:47.8	R3CA: yeah just because it was you know that that the name and it was yeah I follow that that order yeah.	
3:48.0 - 3:59.1	Interviewer: So what when you were reviewing apart from the Excels and also the Excels what were the main difficulties you think that you found them.	
4:00.2 - 4:05.7	Interviewer: The passages that you found more difficult.	
4:06.7 - 4:06.9	Oh.	
4:08.9 - 4:19.4	R3CA: I would say that, for me, the first thing because I read, I read the English text first, very quickly, I printed it out, because I think that.	
4:21.0 - 4:33.2	R3CA: Some things I see better when I have them on paper and First it was to get you know, to get a grasp of the story, because it was a bit strange and I didn't really I.	
4:33.7 - 4:50.3	R3CA: didn't quite like get it until the end know when you really realize the you know the magnitude, but I don't think there was a specific passage that was complicated.	
4:51.7 - 4:58.6	R3CA: But I did this weekend, so it is quite fresh I don't remember I wouldn't pinpoint any specific passage.	
4:59.2 - 5:04.6	Interviewer: But, would you say that what would you say were the difficulties of the text.	
5:06.3 - 5:08.0	R3CA: But linguistically you mean the word.	
5:08.0 - 5:08.8	R3CA: Yes or.	
5:14.5 - 5:25.0	R3CA: Well, obviously, as in any kind of literary text get the tone of you know, the "you", "tu", "usted", just to get the relationships right.	
5:25.7 - 5:43.3	R3CA: And then, how would they talk to each other if the guy worked in the hospital would to say "tÃº" to the painter but maybe they would say "usted" to the doctor and the doctor to the to the father would... so to establish the relationships to the relationship and then.	
5:44.8 - 5:53.8	R3CA: I don't know, maybe some of the things I wouldn't say that the language is very formal or very poetic but there were some...	
5:54.8 - 6:07.0	R3CA: Little things, maybe that had to be kept like that I don't know if it's because of the Catalan, I feel, sometimes I translate both into Spanish and Catalan but I, I sometimes have the feeling I don't know why.	
6:07.4 - 6:15.3	R3CA: That when you translate into Catalan you're being a little bit more academic than when you translate into Spanish I don't know if it's because.	
6:16.4 - 6:25.9	R3CA: To me it seems like Catalan has like more rules, but just because it needs a little bit more of protection and you are not as flexible.	
6:26.8 - 6:36.4	R3CA: When dealing with some linguistic kind of parts so that's why, for example in text C when I saw the way the translator had worked with a surname of the.	
6:37.1 - 6:48.1	R3CA: Of the of the woman Pelham norm, with the verb "pelar" which is like very informal but really gives the idea of that, and that was really, really surprising, so I would say.	
6:49.3 - 7:06.3	R3CA: I don't know just just that the the way that the relationships between the characters, so when do they how do they address, did they address to each other like with "usted" and then some of these kind of language, which was a little bit more poetic but I don't know, I will say that.	
7:06.5 - 7:19.6	Interviewer: What do you think of the play on words or the the title, for example, a or all the nicknames or the sobriquets for the...	
7:20.3 - 7:34.6	R3CA: Well, that was that was very nice and that's that's when I suspected that probably A and C well I don't know, are you will tell me I don't know I know for sure C was translated, you know, from scratch by a human translator.	
7:36.2 - 7:49.2	R3CA: B for sure it has to be machine translated, I don't know the degree of post editing there and A I would say, probably also done by a person... I don't know if you can give me the answer	
7:49.6 - 7:52.9	Interviewer: Right yes, I can give you, yes I think now I can give you.	
7:53.1 - 7:54.0	So.	
7:56.2 - 8:05.2	Interviewer: This project was translated by two translators, but the two translators translated into different modes.	
8:05.9 - 8:06.7	Interviewer: mm hmm the.	
8:06.9 - 8:19.5	Interviewer: First, one did the first part human, then post edited and the other one started post editing and then did human and I have.	
8:21.3 - 8:22.8	Interviewer: What you got.	
8:23.5 - 8:25.1	Interviewer: Your text A.	
8:25.1 - 8:28.1	Interviewer: Yes, it's a mixture of the two post editings.	
8:28.2 - 8:28.9	R3CA: Oh, really.	
8:29.6 - 8:31.0	Interviewer: And text C.	
8:31.0 - 8:37.0	Interviewer: yeah it's a mixture of the two human translators and text B	
8:37.1 - 8:39.0	Interviewer: Is all machine translation.	
8:39.2 - 8:39.6	All.	
8:41.4 - 8:45.6	Interviewer: Okay, does it surprise you that text B is all machine translation?	
8:45.7 - 8:47.4	R3CA: Yes, yes, because.	
8:48.6 - 8:54.3	R3CA: I mean obviously what when, then I changed a lot of things and in the in the Excel file, you can see that it's.	
8:54.3 - 8:55.0	R3CA: it's it's.	
8:55.0 - 8:56.0	R3CA: All filled out.	
8:57.2 - 9:09.7	R3CA: still some sentences were okay, so there were some sentences which was which were okay, but yeah obviously I thought that it was something like this because, while the names, the sobriquests were not not a translated.	
9:10.6 - 9:17.3	R3CA: At all so that's what I thought that well, at least, maybe a human, you know human translator could could have done.	
9:18.8 - 9:23.9	R3CA: You know, could have tried to give a name for these things because.	
9:25.2 - 9:30.4	R3CA: Some of them, some of them, I think that they give you the opportunity they give you the chance to be creative.	
9:31.7 - 9:40.9	R3CA: When... I mean to use the use the names and everything so yeah it surprises me a little bit because I thought that there was a little bit of post editing in text B.	
9:42.4 - 9:53.3	Interviewer: Nothing at all, but, as I mentioned a while we were talking before the interview the engine that we are using.	
9:53.7 - 9:57.1	Interviewer: is an engine that has been trained with literary texts.	
9:58.1 - 10:05.2	Interviewer: So it's not a general one, so I think, maybe some turn of phrases.	
10:05.7 - 10:08.0	Interviewer: are quite good, because they are.	
10:08.5 - 10:11.5	Interviewer: all from the literary domain okay.	
10:12.0 - 10:13.7	R3CA: Okay, then yeah then it makes sense.	
10:14.4 - 10:23.0	Interviewer: Did you notice any difference within the text A and C, did you notice that they were translated by two different people.	
10:23.3 - 10:26.8	R3CA: I thought that they were translated by two different people because.	
10:27.5 - 10:33.8	Interviewer: But I mean within the text or separately?	
10:34.2 - 10:48.1	R3CA: No, no, no separately, no I didn't I didn't tell the difference, really. I thought that someone had done text A, and then someone else did text C also the text C was so good, and I don't know if the tone everything I mean the.	
10:49.5 - 11:03.2	R3CA: You know that it had a different kind of flow, so I thought that that they they had been translated by two different people, but like they had done a complete text one not not a mixture of things that that's really surprising really.	
11:04.0 - 11:09.6	Interviewer: yeah so what I like about this experiment, we can talk about that.	
11:11.2 - 11:18.3	Interviewer: But obviously I think if you're told text A and text B which are relatively short.	
11:18.4 - 11:19.1	R3CA: You are.	
11:19.4 - 11:28.1	Interviewer: it's difficult to imagine that is a different translator right so maybe if I tell you, then you would notice.	
11:28.2 - 11:29.2	R3CA: yeah yeah.	
11:29.2 - 11:30.8	R3CA: Probably probably.	
11:31.3 - 11:41.0	Interviewer: So you mentioned earlier, you mentioned something about the translators being creative that they were you said, the text.	
11:42.4 - 11:58.7	Interviewer: You know, presented parts why they have to be creative So where do you think the translators had to be creative in this text and what do you think is to be creative in literary translation.	
12:00.6 - 12:10.6	R3CA: Well, obviously the parts in which you need creativity were the title and also because it was explained inside the text so that had to be some coherence there.	
12:11.2 - 12:25.0	R3CA: And you really had to think how to do it, because then there was the sentence explaining how you got to the to the to the name right because you pronounce O like No or something so you really have to adapt that.	
12:26.6 - 12:34.4	R3CA: Then, obviously the names of the of the names, they give to this system or whatever and.	
12:35.8 - 12:40.9	R3CA: The play the play on words with the surname of the woman and the activity, she does.	
12:41.7 - 12:51.3	R3CA: which has to be not very obvious because he doesn't really get it when the painter says oh that's very appropriate, because if you do that it's done can whatever and you so you're dunk people.	
12:51.6 - 13:07.0	R3CA: And she's like a little bit lost, so it doesn't it didn't really have to be very, very obvious so that's also something that had to be very creative and the rest of it stays the same and what it used to be really for me.	
13:08.1 - 13:14.3	R3CA: And I think it's something that we mentioned in the emails for me it's when you really have to modify things right, I mean when.	
13:14.7 - 13:25.5	R3CA: You really have to take these things and bring it to your domain and to your to your language to your knowledge to your culture, so that that would be being creative like really.	
13:26.9 - 13:43.8	R3CA: not a distance a lot from the text, but really having this freedom to change things to change the text, so it really makes the same impression to the to the reader to to keep the feelings that would have the.	
13:45.6 - 13:53.0	R3CA: the reader of the of the source text and the reader of the translated text I don't know if that really makes sense.	
13:55.7 - 14:07.0	Interviewer: Sure, it does. And when you were doing the annotating the reproductions and they you know when you there were the units of creative potential that we selected and you had to classify.	
14:08.2 - 14:11.0	Interviewer: How did you find that what was that.	
14:12.7 - 14:15.5	Interviewer: Do you think we had selected the proper.	
14:17.4 - 14:19.4	Interviewer: Units of creative potential.	
14:20.8 - 14:30.2	R3CA: For me, it was very difficult at the beginning to really and it was really well explained in your instructions, but it was it was at the beginning was difficult to differentiate between.	
14:31.1 - 14:38.8	R3CA: When you said reproduction and direct translation, because you said that it's not the way someone who is not who	
14:39.3 - 14:50.0	R3CA: doesn't belong to the field is not the way that they would understand the literal translation, but, at the beginning it was different because it was difficult because there were some sentences which were Okay, even in Text C.	
14:52.2 - 14:58.5	R3CA: They were nice, but obviously they would just direct translation, because some sentences you don't really need to.	
14:59.7 - 15:15.2	R3CA: Like change a lot right and that that at the beginning, it took some effort, because it's like okay now just think it's literal but not literally in a bad way, because I think that as translations as translators, we always think that something literally something bad, but.	
15:16.7 - 15:32.8	R3CA: In this case it wasn't I mean it just that they were reproduction and that's Okay, then, for me, what was difficult, and I think something that I, that I asked you through mail is in the in the field of the modifications, because there was cultural and situational and.	
15:34.1 - 15:34.7	Interviewer: And historical.	
15:34.8 - 15:42.4	R3CA: yeah and for me there and the way I work that through in the end it was I put it was situational when.	
15:43.9 - 15:58.4	R3CA: It fit the situation, and it was cultural when it was, for example, a word or something that we would expect linguistically there, for example, when it was like Gee and then you had Ostras, then I put that as cultural because it.	
15:58.4 - 15:59.1	Interviewer: was like.	
16:00.1 - 16:12.4	R3CA: More linguistic let's say, but if it was another kind of modification, but maybe it was not a standard or it was not a set phrase, or it was well just the situation I put a put situational.	
16:12.8 - 16:19.4	R3CA: But I really had to do this kind of mental exercise to say okay when it's something like cultural... lexical.	
16:20.1 - 16:35.3	R3CA: And, unlike that you will put cultural and then you would put the other one, and that was a That was a bit complicated at first to get around the idea that text and then put it, putting it into you know into the Excels and everything.	
16:36.2 - 16:43.3	Interviewer: yeah because this is not what we are used to do I think sometimes I also think.	
16:43.8 - 16:45.9	Interviewer: You know what do I mean by.	
16:47.6 - 16:59.3	Interviewer: By now, I have an understanding because i've been dealing with this for a while and would you say that you're satisfied with the review that that that you did.	
17:00.0 - 17:07.3	R3CA: I think so I mean it's it's difficult because it's not something I was really comfortable with because it's not.	
17:07.8 - 17:15.9	R3CA: Usually the work, the work I do, and the way I work with my customers and everything they don't ask me to to do these kind of things.	
17:16.3 - 17:26.8	R3CA: and luckily I don't work with these agencies that you know they give you these detailed reports and they say your translation has been failed or whatever so.	
17:27.4 - 17:33.0	R3CA: Luckily, because you know I would get like a little bit anxious with all this information and and and so many things right.	
17:33.4 - 17:45.8	R3CA: So um yeah I get that if you work with multinationals or big big agencies, maybe you're more used to dealing with these sort of lingo and this sort of codes for everything.	
17:46.9 - 17:54.3	R3CA: I think that I did a good good job as far as I know I just did it in the best way I could, and I knew so.	
17:55.3 - 17:56.5	R3CA: I would say, I am satisfied.	
17:58.0 - 17:59.0	R3CA: I hope it is all right.	
17:59.0 - 18:15.3	R3CA: I know that it's very...as you said in the emails... that sometimes it's the way you feel or the way you you think right?, probably for me, this would be reproduction... a direct translation and for someone would be a reproduction and something else so.	
18:15.9 - 18:17.4	R3CA: I don't know that depends a little bit.	
18:17.5 - 18:17.9	R3CA: But I.	
18:18.2 - 18:25.0	Interviewer: think that will be different, but maybe everyone agrees, in which of the text was more creative.	
18:26.0 - 18:28.1	R3CA: Well, hopefully yeah no but for for me.	
18:28.1 - 18:35.2	R3CA: It was C hands hands down but...	
18:35.3 - 18:51.1	Interviewer: yeah I wanted you to talk to me a little bit... I think you have mentioned some of the things of why you prefer C but could, could you explain, for example, between A and C why did you prefer C one what were the little things that make you like it more?	
18:51.2 - 19:00.7	R3CA: Okay, for me, because well basically the title CON0C was the same it was expressed maybe now that there were there was a tiny difference so that's okay.	
19:01.2 - 19:20.9	R3CA: But I really liked for me what really, what was the play on words with the surname of of that of the woman other they say Pelham and then "fer pelar" for me that was great because I was, I was reading it, it was like "oh yeah" that that that's because when I read A.	
19:22.4 - 19:26.1	R3CA: You know that the play on words was totally lost because.	
19:27.5 - 19:32.5	R3CA: It was like wow now I don't remember what it wasn't like a little bit literal.	
19:33.4 - 19:46.6	R3CA: And then you know that that gets you thinking, and it was how would I say that, and I was like musing on that I was I had that you know the background like thinking, and when I got to text C and I read that it was like it's perfect.	
19:47.0 - 20:03.7	R3CA: So I would say that that that was I don't know if it was the point that it was the the the thing, but if not, it was one of the of the key factors that make me love C the most I don't know in general, I thought it was very, very good.	
20:05.1 - 20:07.1	R3CA: But yeah but, but especially for these.	
20:07.4 - 20:12.2	R3CA: Little things but yeah yeah let's say the surname basically it was the.	
20:12.6 - 20:13.6	R3CA: best thing, it was a very.	
20:13.6 - 20:15.9	Interviewer: The play on words with the surname.	
20:16.0 - 20:16.7	R3CA: yeah yeah.	
20:17.6 - 20:25.8	Interviewer: yeah and so you did you guess that text B had some kind of machine.	
20:25.9 - 20:26.5	In it.	
20:29.0 - 20:29.5	R3CA: i'm sorry.	
20:30.2 - 20:35.3	Interviewer: Did you guess when you were reviewing that text be was machine translation.	
20:36.4 - 20:42.7	R3CA: yeah because there were some incoherences I think inside the same text.	
20:43.7 - 20:53.7	R3CA: I don't remember now properly, but I think that, for example, yeah that the sobriquets.... the names of the Center whatever so, for example, the beginning, they said it was happy hooligan.	
20:54.4 - 21:01.0	R3CA: And then, they say Hooligan feliÃ§ or something like these, so there was this kind of inconsistencies.	
21:02.0 - 21:19.3	R3CA: but also because there were many things which were not translated so that made me think that probably was that because I mean i've used i've done, not a lot but i've done some post-editing and and usually what happens is that some words have not translated and.	
21:20.9 - 21:30.2	R3CA: And in this case, for example, sobriquet I think it was the same, and then triplets, which is a word which should be I mean obviously you don't talk about "trigenims" every day but.	
21:30.4 - 21:38.4	R3CA: You look that up in the dictionary so triplets was kept the same it was not translated, so these things just made me think that probably that.	
21:39.8 - 21:46.7	R3CA: says, the Internet is unstable, so that those were like little indicators that I saw that it was.	
21:47.5 - 21:49.2	Interviewer: You mentioned that.	
21:49.2 - 21:50.7	R3CA: What I didn't know it, you.	
21:52.0 - 21:58.3	Interviewer: No, I think you were going to say that that it wasn't you thought there was some editing, right?	
21:58.3 - 22:05.3	R3CA: Yeah yeah yeah maybe like very, very quick, because obviously some of the things probably yeah human it's true that that.	
22:06.0 - 22:13.3	R3CA: A human translator would have would have seen that i'm probably would have edited something out or just change something but um.	
22:14.0 - 22:29.7	R3CA: But yeah yeah That was really surprising because some of the sentences didn't really look like if they had been just just machine translated and and never touched, but um but yeah yeah basically these things things that were not translated these inconsistencies.	
22:31.3 - 22:34.4	R3CA: Inside the text and.	
22:35.8 - 22:43.5	R3CA: I don't know basically these. What I understand I don't know if you can, if you can give me the answer to that is why in text A.	
22:44.9 - 22:49.1	R3CA: translator well whoever decided to translate the name to Afflick.	
22:50.3 - 23:08.2	R3CA: Because if I didn't really see the reason the reasoning behind that and that's what I thought that maybe A had been machine translated, but then like had been... you know, like underwent a really or undergone a really big was translate a post-editing thing.	
23:08.6 - 23:13.7	Interviewer: This is one of the translator translated all the names.	
23:14.8 - 23:17.2	Interviewer: So Pelham and Aflick and Hitz.	
23:19.3 - 23:21.1	Interviewer: In the original English.	
23:22.4 - 23:26.3	Interviewer: They have they appear to have a connotation.	
23:26.4 - 23:28.1	Interviewer: Okay Duncan.	
23:28.7 - 23:31.9	Interviewer: Duncan is a common name in English, but to.	
23:32.1 - 23:33.9	Interviewer: to play with their work to dunk.	
23:34.4 - 23:35.0	Interviewer: And then.	
23:35.1 - 23:39.9	Interviewer: Whailing it has the thing of wailing have somebody in sorrow.	
23:40.3 - 23:40.4	Interviewer: The.	
23:40.5 - 23:42.0	R3CA: And Afflick "de aflicciÃ³".	
23:42.3 - 23:43.3	R3CA: yeah definitely.	
23:44.1 - 23:45.6	Interviewer: Okay yeah most.	
23:46.1 - 23:53.5	Interviewer: The person had... this translator had translated all the surnames, but when I have to divide.	
23:53.6 - 23:54.0	R3CA: Okay.	
23:54.3 - 23:55.9	Interviewer: I had to make some Salomonic.	
23:55.9 - 23:57.2	R3CA: Decisions mm hmm.	
23:58.2 - 24:01.9	Interviewer: So I didn't want to interfere so much in the translation.	
24:01.9 - 24:02.4	Okay.	
24:03.7 - 24:08.6	Interviewer: And the part that was one part with the surname appear more.	
24:09.0 - 24:09.4	R3CA: mm hmm.	
24:09.8 - 24:19.1	Interviewer: So I had to leave it and then change it in the second part and i'm vice versa, so that was a bit.	
24:19.6 - 24:26.6	Interviewer: A pity but it is part of the project, for example, I didn't have this problem in Dutch.	
24:26.7 - 24:31.9	Interviewer: Because they didn't translate any of the names, so it was much easier to put them together.	
24:32.3 - 24:33.6	R3CA: mm hmm all right.	
24:33.7 - 24:34.7	Interviewer: You know, but.	
24:35.1 - 24:35.7	Interviewer: I think.	
24:36.8 - 24:40.9	Interviewer: I think, although I understand that a.	
24:41.7 - 24:44.6	Interviewer: Surnames are no usually translated.	
24:45.1 - 24:57.9	Interviewer: I think these surnames require some thinking, and I also thought that they because I translated this into Spanish and I translated the surnames.	
24:58.3 - 25:00.1	Interviewer: I did this for me for.	
25:01.4 - 25:04.4	Interviewer: To just get familiar with the text.	
25:05.5 - 25:13.3	Interviewer: But I love that solution of not translating it, but making it sound like a word.	
25:14.3 - 25:23.0	R3CA: For me, the things that I thought about that, and I said okay Afflick and I, and I thought, well, maybe it's affliction but for me when I when I just thought about that.	
25:24.6 - 25:37.2	R3CA: Maybe it just me and maybe another reader would really, you know, like connect the points and connect the dots but um it was like I don't really know if all the readers will get the meaning of these Afflick.	
25:37.9 - 25:46.1	R3CA: For me, it was this like yeah I get after thinking it through Okay, I can see Afflick affliction i afligir i afligit.	
25:47.1 - 26:00.4	R3CA: But I don't know Maybe it was because of you know, it was like written as if, as if it was a surname which is okay, because it has to be, it has to give the idea has to give some veracity right, so it was Okay, but um.	
26:01.1 - 26:11.6	R3CA: I don't know I thought that maybe this change, I wasn't really sure that a reader would connect it right would think I don't know that it was related to that.	
26:11.9 - 26:12.3	R3CA: Well, they.	
26:12.4 - 26:17.2	Interviewer: Well maybe they won't notice or but.	
26:17.3 - 26:20.2	Interviewer: If all is translated maybe.	
26:20.7 - 26:23.3	Interviewer: Or if there is some explanation... a note.	
26:24.8 - 26:30.4	Interviewer: Is that translate just suggested, I mean this is usually discuss with the editors.	
26:31.4 - 26:32.7	Interviewer: But here we saw.	
26:34.0 - 26:34.4	R3CA: yeah.	
26:34.4 - 26:36.1	Interviewer: So I think that issue was part.	
26:36.8 - 26:38.9	Interviewer: Part of the way the experiment is run.	
26:39.0 - 26:40.3	Interviewer: Unfortunately.	
26:40.7 - 26:42.4	R3CA: No, no, so it's nice to know that.	
26:42.7 - 26:44.1	Interviewer: yeah it's Nice.	
26:45.0 - 26:49.0	R3CA: to know that the inner workings of the text and everything.	
26:50.8 - 26:55.0	Interviewer: And so, in your opinion.	
26:55.4 - 27:02.3	Interviewer: You know you have seen three texts what do you think is the impact.	
27:04.6 - 27:09.2	Interviewer: of MT in the translators' creativity.	
27:10.4 - 27:21.2	R3CA: that's my personal opinion, and the things that i've seen when when I thought it would have worked on on on this post-editing for me, I think that at the beginning.	
27:22.3 - 27:23.0	R3CA: It really.	
27:25.1 - 27:30.3	R3CA: It makes things a little bit difficult it's like when you are post-editing something.	
27:31.4 - 27:34.6	R3CA: You have like a "corset" you have something.	
27:36.6 - 27:49.0	R3CA: I don't know it's difficult it's difficult to to to say, but I think I said something on Twitter, the other day was like some time ago, a month ago, like, for me, when when i'm post editing, I feel that.	
27:50.3 - 28:02.0	R3CA: i'm being a little bit more literal than if I did, that from scratch and I realized that when i'm just checking at the end, I mean if maybe I do a double check or I just.	
28:03.0 - 28:18.0	R3CA: Leave it for some time and then go over the text again then maybe i'm able to be a little bit more flexible, but, at the beginning, if it just the first a stage of post-editing it is very difficult for me to be creative and to.	
28:19.6 - 28:29.0	R3CA: detach a little bit more from the text I need some time and some distance to then read it again, maybe with fresh eyes or whatever and and find.	
28:29.6 - 28:41.2	R3CA: The way to you know fly and just do more things but, at the beginning, for me, is these I mean I feel like maybe tempted, because in a way it's like you're correcting something so.	
28:42.7 - 28:48.3	R3CA: For me it's more difficult to be creative if i'm doing a post-editing if i'm post-editing something.	
28:49.4 - 28:56.6	Interviewer: And what do you think is the impact on the reader because say, for example, the readers.	
28:58.1 - 29:08.3	Interviewer: will have if they experienced different types of texts some human translated some post-edited and some raw MT.	
29:09.4 - 29:14.3	Interviewer: What do you think the reading experience would be for this three different texts.	
29:15.6 - 29:19.6	R3CA: I will say that, basically, the difference, would be the literality right that that may be.	
29:20.7 - 29:27.6	R3CA: a post-edited text would be more literal than than other kinds of texts I would say.	
29:27.8 - 29:30.6	Interviewer: But for the reader of literature.	
29:31.0 - 29:35.1	Interviewer: How do you think they are going to receive this different texts.	
29:35.6 - 29:36.8	R3CA: Without knowing?	
29:37.0 - 29:42.2	Interviewer: Without knowing... how do you think the impact on them can be.	
29:45.9 - 29:49.1	R3CA: I don't know... just that... that they will feel that maybe it's.	
29:50.0 - 29:57.5	R3CA: A more literal translation, maybe they would see that it's more you know sentence after sentence that maybe is not going to be like a real.	
29:58.0 - 30:05.7	R3CA: cohesive kind of thing I don't know I guess it depends, as you said, on the machine and also it depends on the on the person working on the text after that.	
30:05.8 - 30:08.3	Interviewer: But on these three particular texts.	
30:08.5 - 30:22.2	Interviewer: If we give these three texts to readers we don't tell them where they... who did them and we asked them to read this text only in Catalan, what do you think the reading experience would be.	
30:22.4 - 30:23.6	R3CA: Well, very bad for B.	
30:25.9 - 30:36.2	R3CA: Well, and well i'm just i'm really i'm just thinking again on on what you said that A and C where it has done by people and and I had a completely different idea.	
30:37.3 - 30:51.2	R3CA: On my mind um I would say that the reader, for example, if for text B would be like what would would be lost on on many things are many words and probably the the experience would not be a satisfactory is you know with with the.	
30:51.7 - 30:58.8	R3CA: If you compare it to the other kind of texts, for example, know the names, we were saying the names of of that like go easy or.	
30:59.8 - 31:12.7	R3CA: I don't know Goodbye mom or whatever, and on and these kind of things you would miss a little bit the creativity and probably people would complain because would not be like really, really good or up to standard.	
31:13.8 - 31:15.0	R3CA: And the rest, I don't know if.	
31:17.1 - 31:23.6	R3CA: I don't really know because some people really maybe they read something which is not very, very well translated and they are happy.	
31:23.9 - 31:41.3	R3CA: And there are people who read something which is really well translated and, as we said no?, we change the surnames and and they like it, and some would say that that's just maybe too much, so I would say, would depend on the reader but, in general, I would say that they would complain.	
31:43.0 - 31:45.4	R3CA: For B and they would not understand.	
31:46.5 - 31:52.9	R3CA: The whole maybe story they wouldn't get a satisfactory text that would say no, they wouldn't get the.	
31:53.0 - 31:54.7	Interviewer: And between A and C.	
31:58.3 - 32:00.2	R3CA: A would be just regular.	
32:01.3 - 32:13.8	R3CA: translation it's okay that are just some things and maybe you the like I don't think that they would complain for that for me well, as I said, I mean C was was the best and.	
32:14.6 - 32:28.8	R3CA: Also because I don't know if it's it's different because we are trained and we know about this text and and we have more we maybe I don't know we have seen more things and we realize things that maybe a regular reader wouldn't.	
32:29.8 - 32:47.8	R3CA: So I don't really know my mom, for example, she reads a lot, and she reads lots of translations and something see he says, are these texts was a little bit, but on the whole she's Okay, I mean she reads everything and probably she's read very good translations and and well.	
32:49.0 - 33:03.0	R3CA: Translations which were not that that good and and for her it was okay right.. so I don't know, I guess, maybe it also depends on the on the mistakes that you find or this these kind of things.	
33:03.8 - 33:09.3	Interviewer: You said earlier that you had a completely different idea on your mind of.	
33:10.7 - 33:12.0	Interviewer: A and C.	
33:12.2 - 33:13.7	Interviewer: What what's your idea.	
33:16.2 - 33:24.2	R3CA: I thought that maybe A was machine translated, but had really been or had been heavily post-edited.	
33:24.7 - 33:29.9	Interviewer: yeah that's true, it was machine translation post edited.	
33:30.3 - 33:30.9	A.	
33:33.1 - 33:35.3	Interviewer: But two different people.	
33:36.0 - 33:38.8	R3CA: But different people. But C you said that it, it was also machine translated and post-edited.	
33:38.8 - 33:39.8	Interviewer: No.	
33:39.9 - 33:43.1	R3CA: Ah, no, no from scratch yeah so so that that's a little bit.	
33:44.8 - 33:46.2	Interviewer: C.	
33:47.4 - 33:51.3	Interviewer: Is the same translators, but let's say free.	
33:51.3 - 33:53.6	R3CA: Free okay yeah.	
33:53.9 - 33:55.3	Interviewer: Without any aid.	
33:55.6 - 33:57.7	R3CA: mm hmm but how.	
33:58.0 - 34:00.6	Interviewer: So, is this the idea that you had in your mind?	
34:00.7 - 34:02.7	R3CA: yeah more or less yeah.	
34:03.8 - 34:08.4	R3CA: I was mistaken about B being maybe post-edited a little bit.	
34:08.8 - 34:11.1	Interviewer: yeah which wasn't.	
34:11.4 - 34:21.8	R3CA: yeah which wasn't but the rest yeah because I I saw differences between A and C, probably because well, as I said, know some of the translation of the surnames and.	
34:23.3 - 34:34.6	R3CA: Some of the of the C really had another I think of that and not just the names some sentences were really natural and I think I gave lots of kudos to.	
34:35.3 - 34:46.2	R3CA: C in that aspect, because there were some sentences which I said wow that that's very good and that's very Catalan and that's very nice and it's something that A didn't have.	
34:47.8 - 34:51.0	R3CA: didn't have so many local expressions or.	
34:52.0 - 34:52.6	R3CA: I don't know.	
34:54.2 - 34:59.2	R3CA: I don't know these kind of things that not just play on words but some sentences that you said wow that's that's really good I mean.	
