0:09.8 - 0:11.4	Interviewer: I you want to answer that, I	
16:27.3 - 16:30.7	Interviewer: So do you think your post edited version.	
16:30.8 - 16:37.4	Interviewer: Yes, and you're human version. Let's call it the one that you did from the start from scratch.	
16:38.6 - 16:46.8	Interviewer: Do you think these two versions will have an impact on the reader. Do you think the reader will notice these two	
16:48.0 - 16:49.4	Interviewer: Types of	
16:51.0 - 16:52.0	Interviewer: Translation modalities	
16:52.8 - 16:56.6	T4NL: Now, because in in in the post editing. I use my own style.	
16:57.2 - 16:58.0	Okay.	
16:59.4 - 17:06.9	T4NL: So I guess we could test it, it actually have someone read it and said, You see is	
17:08.2 - 17:11.0	T4NL: Going somewhere. Do you see a change	
17:12.4 - 17:18.5	T4NL: Halfway or or one point at which point to do you do you think whatever but	
17:18.5 - 17:21.2	T4NL: I am quite confident that it's	
17:21.7 - 17:26.4	T4NL: That it is ok that it could be seen as one translation.	
17:28.2 - 17:44.0	Interviewer: So if you gave a reader a translation that was completely done without any MT, then another version that was post edited entirely post edited.	
17:44.6 - 17:48.4	Interviewer: And a version directly from the machine.	
17:48.7 - 17:54.3	Interviewer: So you have three versions, the human the post edited and the MT.	
17:55.0 - 17:57.4	Interviewer: What do you think the reader.	
17:58.1 - 18:05.5	Interviewer: Would make out of these three versions, what will the impact on the reading experience.	
18:07.4 - 18:19.6	T4NL: Well, I think that the reader, whoops, considered the post-edited one and one that was done completely by me from scratch as identical	
18:20.7 - 18:21.5	Interviewer: Okay.	
18:23.1 - 18:27.9	Interviewer: And the MT. What, what do you think the reading experience would be learned.	
18:28.1 - 18:29.3	T4NL: What do you mean by the MT.	
18:30.2 - 18:32.5	Interviewer: The machine translated if we took	
18:32.6 - 18:35.5	Interviewer: a text and only machine translation, no human intervention.	
18:35.6 - 18:40.1	T4NL:  Then they would say what nonsense is this, this	
18:41.0 - 18:42.1	Interviewer: As a reader.	
18:44.3 - 18:44.4	T4NL: Yeah.Oh,	
18:44.5 - 18:45.1	T4NL: Yeah, this	
18:45.2 - 18:49.3	T4NL: Doesn't make there are phrases that don't make any sense completely	
18:49.9 - 18:53.3	Interviewer: And do you think all the readers will react in the same way.	
18:55.3 - 18:57.3	Interviewer: Dutch readers, obviously.	
18:57.4 - 18:59.1	T4NL: Yeah, if it's a good reader. Yes.	
19:00.3 - 19:01.8	Interviewer: What is a good reader.	
19:02.2 - 19:10.0	T4NL: Well as somebody who notices errors and somebody will notice a little bit an intelleigent reader would	
19:11.1 - 19:18.5	T4NL: immediately see that it's full of mistakes and inconsistencies and errors and illogical things and	
19:20.4 - 19:21.0	T4NL: Stuff.	
19:22.6 - 19:25.2	Interviewer: So if you were to have	
19:26.8 - 19:29.5	Interviewer: as a Dutch reader.	
19:30.8 - 19:32.5	Interviewer: The English only	
19:33.7 - 19:43.8	Interviewer: Or the Dutch that was machine translated. What do you think the Dutch reader will go for? What do you think a Dutch reader would prefer	
19:44.9 - 19:45.9	T4NL: The English	
19:46.7 - 19:49.0	Interviewer: The English version, why	
19:49.7 - 19:55.0	T4NL: Yeah, because of good English, of course, is preferable than that, that translation.	
19:56.1 - 19:59.1	T4NL: I would say that maybe I'm biased.	
20:00.4 - 20:03.2	Interviewer: Well, of course, is your opinion. I'm asking you.	
20:04.9 - 20:07.7	T4NL: Yeah, I would. I would prefer the English	
20:08.8 - 20:30.4	Interviewer: Okay. Um, can you explain to me a little bit how was your translating process. So how was your translating process in this particular experiment or in general. What I mean by this is some people say, or	
20:30.4 - 20:33.8	Interviewer: First, I read the source text then I do this.	
20:34.1 - 20:46.2	Interviewer: Or I look for the difficult parts first and then I look for the easy part. How do you work with any texts and in particularly how did you work with this text.	
20:47.9 - 20:48.6	T4NL: In geneal oh	
20:49.7 - 20:52.0	T4NL: I always read with the source text.	
20:52.5 - 20:58.3	T4NL: Okay, if it is a whole book I just go diagonally	
20:59.3 - 21:08.8	T4NL: I just go quickly through it. But for shorter texts I read completely the source text and then I can then I start working. And then I just start you know	
21:09.5 - 21:18.4	T4NL: Page one per sentence I don't go looking for. While I am reading only reading the source text I already noticed. Oh, this is quite	
21:19.0 - 21:35.2	T4NL: Difficult or this is funny or this this I don't understand or whatever. But then I don't pay much attention to the specific issues. I just start at the beginning translating and then I solve the problems when they come	
21:35.4 - 21:41.8	Interviewer: Okay. And sorry, do you print or do you do this online.	
21:43.1 - 21:44.1	Interviewer: The reading	
21:45.6 - 21:50.6	T4NL: Online. I don't. I never print anything when I'm translating I have the two	
21:50.7 - 21:52.0	The source text and my	
21:53.2 - 21:56.1	T4NL: On to the two documents and on the one page on my screen.	
21:58.4 - 22:13.7	Interviewer: And do you print out. How do you review, then what is your review process, if any, maybe you just... some people, you know, they translate a sentence and they consider that finished. Some people go through several review processes, what is your process?	
22:14.5 - 22:32.8	T4NL: I review review, maybe four or five times that and also in the process. And also, of course, when I think I'm finished. Then, you know, I review two times and on your request I did it three or four times.	
22:34.2 - 22:39.9	T4NL: Because normally what I do normally is after I finish a text I have a reader.	
22:41.7 - 22:43.2	T4NL: Somebody outside	
22:43.5 - 22:46.4	T4NL: Okay, who is who is reading my translation.	
22:46.4 - 22:50.2	T4NL: And because sometimes as a translator. You don't see your errors anymore.	
22:50.6 - 22:51.5	T4NL: ***He is false.	
22:51.8 - 22:55.9	T4NL: So I have somebody outside who's getting my my text for me.	
22:57.0 - 23:04.2	T4NL: And it's just very helpful, but I couldn't do that this in this translation, because the files were too complicated, and I	
23:04.2 - 23:04.4	Interviewer: Couldn't	
23:04.7 - 23:16.1	T4NL: I couldn't send it also you know when you're working in Word, you can have many editing tools that you didn't have that you didn't, he didn't have in your in your project.	
23:16.3 - 23:18.6	Interviewer: So which editing tools do you use	
23:20.3 - 23:25.9	T4NL: Like for example, dictionaries. Of course I use outside dictionaries online.	
23:27.0 - 23:30.2	T4NL: To find synonyms or meanings, whatever.	
23:31.9 - 23:46.2	T4NL: But also, you know, just a bit of editing the little editing in Word, things like delete are cut and paste and change the syntax is etc, which was not so easy in this which was much, much more simple in this one.	
23:47.1 - 23:50.7	T4NL: Okay, so that was a little issue.	
23:51.9 - 24:07.5	T4NL: But then what I do... the reviewing when I, for one, for example, one single unit or you call a unit, I would translate it, I would edit it or translated and edited or edit or post-edited and then	
24:09.5 - 24:24.9	T4NL: I go a little bit down next unit next translation and but then I can go back to the previous one. And then, you know, I do by by paragraph. I do like the reviewing in the process.	
24:26.2 - 24:38.7	T4NL: And sometimes you know when I make it first as a unit or make just a literal translation direct translation and then I go back	
24:40.0 - 24:55.0	T4NL: And try to get a fresh mind read my very first translation and then I you know I decide to edit it directly to make it more fluent or to inject insert something more idiomatic	
24:56.7 - 25:00.6	T4NL: Or to change a synonym or something like that. It's like editing.	
25:01.6 - 25:11.3	T4NL: Okay, so it's during the process and after the process several times. I think I'd see every unit four or five times before I submit something	
25:12.3 - 25:17.3	Interviewer: And your the person that edits for you or correct or	
25:19.6 - 25:20.8	T4NL: It's called a	
25:23.0 - 25:23.7	T4NL: Nalesser in Dutch	
25:25.2 - 25:25.8	Interviewer: Okay.	
25:25.9 - 25:30.2	T4NL: So this. It's not a. It's not a professional translators just somebody who	
25:30.7 - 25:31.7	T4NL: critically looks at my Dutch	
25:32.2 - 25:36.5	Interviewer: So each she or he only reads the Dutch not the source.	
25:37.2 - 25:47.8	T4NL: Yeah, if, if something is if something is wrong is just doesn't make sense in her interview she looks at the original to the source text.	
25:48.3 - 25:59.5	T4NL: And she says, oh, you should better is something has to give suggestions or she only says in Dutch, "dit klopt niet". And this doesn't make sense.	
26:00.9 - 26:05.8	T4NL: Or not a nice rhythm...rhythm is very important in	
26:06.3 - 26:07.0	literary texts.	
26:08.2 - 26:10.6	T4NL: So, she'd say, it's, it's	
26:11.7 - 26:12.5	T4NL: bumpy	
26:14.0 - 26:17.3	T4NL: She could, you know, and then I review it and I'll make it more fluent.	
26:19.1 - 26:20.1	T4NL: That's very helpful.	
26:20.9 - 26:26.8	Interviewer: And this person is somebody that works with you or works for the publishing house.	
26:27.8 - 26:32.0	T4NL: No, this is entirely before anything goes to the publisher. This is	
26:32.4 - 26:34.3	Interviewer: OK, so my own. So you have	
26:34.3 - 26:35.6	Interviewer: Your, your own	
26:36.8 - 26:37.3	T4NL: It is a friend.	
26:37.8 - 26:42.9	Interviewer: Is this common in in in literary translation in Dutch?	
26:44.0 - 26:46.4	T4NL: Many people do this. Yeah. Many people do this.	
26:47.3 - 26:49.6	T4NL: Because sometimes you don't see it anymore yourself.	
26:49.6 - 26:50.8	Interviewer: I understand that.	
26:50.8 - 27:00.3	T4NL: Yeah. And then also, you know, later on, and I think it's finished my co reader is also satisfied with your remarks and the way I changed everything.	
27:02.0 - 27:04.6	T4NL: Normally I don't I don't I don't send her	
27:05.6 - 27:15.8	T4NL: My, my editing or just get it one time from her because I just, you know, she's not professional some somebody doesn't matter. She only comes with suggestions.	
27:16.9 - 27:29.0	T4NL: And remarks and then I do my professional editing and then I sent to the publishing house and there they also have somebody "postklaar maken". You know the one who's	
27:29.6 - 27:31.1	T4NL: Correcting again also	
27:31.3 - 27:36.7	T4NL: And then we have discussion sometimes about things with as a translator is I have the final word.	
27:39.0 - 27:47.5	Interviewer: Okay, so then I wanted to ask you, in this case, if you were satisfied with the translation that you did.	
27:49.6 - 28:04.7	T4NL: Yeah, I was, as I told you, then I sent my first version. I said, I'm a little bit. A little bit unsure, because nobody nobody could check me. But anyway, and I was counting, you know, normally I could count on the	
28:06.4 - 28:26.3	T4NL: On the on the corrections by the publisher. But in this case, there was no way to to do to do it. So I tried to. That's why I went again through it and I did find some errors and typos and things I I prefer to to improve. So actually, that was a good	
28:28.3 - 28:30.8	T4NL: Another good additional round of reviewing	
28:32.5 - 28:33.3	T4NL: Correcting	
28:33.8 - 28:41.8	Interviewer: Okay, and you were mentioning that you use dictionaries and	
28:42.9 - 28:43.8	Interviewer: Online.	
28:44.3 - 28:47.0	Interviewer: Yeah, is it all online.	
28:47.7 - 28:48.2	Sorry.	
28:49.3 - 28:55.6	Interviewer: Is it all online? Is it all different reference I all the references that you use online, or do you also use printed dictionaries.	
28:57.7 - 28:58.4	T4NL: You mean books.	
29:00.2 - 29:02.1	T4NL: No, I only use online dictionary.	
29:02.7 - 29:04.5	Interviewer: Okay, so	
29:05.1 - 29:11.4	T4NL: Or Google or just Google or Wikipedia or something, anything could could be like a, you know, to research something	
29:11.9 - 29:22.1	Interviewer: So in this process online. Do you ever use Google Translator or DeepL or Linguee	
29:22.3 - 29:23.3	Interviewer: Any tool	
29:23.7 - 29:24.1	No.	
29:25.6 - 29:26.2	T4NL: Never	
29:28.4 - 29:28.9	T4NL: Why	
29:32.3 - 29:35.8	T4NL: Well, because they are much better to real, you know, professional dictionaries.	
29:39.3 - 29:42.1	T4NL: like the Van Dale, the Oxford Dictionary, you know, which is not bilingual but...	
29:43.4 - 29:51.0	T4NL: To the research expressions or even the free dictionary or there is many sources or the	
29:52.0 - 29:53.0	T4NL: You know, for	
29:55.7 - 29:56.5	T4NL: I forgot the name	
29:57.7 - 29:59.2	T4NL: For swearing.	
30:00.0 - 30:00.6	T4NL: Special.	
30:00.8 - 30:03.9	Interviewer: Oh the Urban Dictionary. Is it the Urban dictionary?	
30:03.9 - 30:08.1	T4NL: Yeah, for example, yeah, all kinds of sources can be useful.	
30:09.5 - 30:18.4	T4NL: And from one, you get to another, you know, if you links to something else, something else to something else or, you know, especially if you talk about	
30:19.6 - 30:32.1	T4NL: What we call the "realia" on which are typical for that specific country or you know names names of geographical places or names of shops or something like that, you can research.	
30:32.7 - 30:39.1	T4NL: Or when there is a reference to another book or something. You can go from book to book. The book to find	
30:40.4 - 30:43.1	T4NL: Yeah and you know you can go in depth just online.	
30:44.8 - 30:48.7	T4NL: But I never use Google Translate for a suggestion for a word or something.	
30:48.8 - 30:49.8	Interviewer: Or DeepL	
30:50.4 - 30:51.8	T4NL: I don't even know what that is.	
30:53.0 - 31:07.3	Interviewer: Okay, so do you. If you were to suggest how to improve machine translation for you to use it. What would you say	
31:09.9 - 31:13.6	T4NL: Well, that should improve the idiomatic translations.	
31:16.0 - 31:17.0	T4NL: And they should improve	
31:18.9 - 31:19.2	T4NL: In	
31:20.4 - 31:23.7	T4NL: consistency between sentences and paragraphs.	
31:24.8 - 31:30.9	T4NL: Which they don't, they can they can even contradict one sentence to another day can be contradictory.	
31:32.3 - 31:35.0	T4NL: So that that should be improved completely	
31:36.4 - 31:56.9	T4NL: And I just also little things like punctuation, like the the quotes, you know, the quote signs are reversed in that, you know, double quotes is the single quote sign in Dutch and things like this that they don't even manage that. So that should be improved.	
32:02.0 - 32:07.9	T4NL: Yeah, for example, also in names you know that Chicago Lying in hospital Lying is a proper	
32:10.0 - 32:12.4	T4NL: English word to do, which means	
32:13.8 - 32:17.7	T4NL: "***Kan clinic" something you know that I'm amazed that they don't even	
32:18.8 - 32:22.4	T4NL: See this or translate this for you. You know, you have to find yourself.	
32:23.6 - 32:33.9	T4NL: With you know i think it's in general that it's still very weak. I know it has improved a lot since a couple of years, and sometimes they even managed to make a correct sentence, but	
32:39.3 - 32:41.6	T4NL: It needs it still completely insufficient.	
32:42.3 - 32:52.9	Interviewer: So if these if these things were fix. So the proposals were better but not perfect. Would you like to use it.	
32:55.1 - 33:04.5	T4NL: I might because it would, of course, you know, if 80% is OK. But still, you would have to check every single word. So.	
33:05.7 - 33:15.6	T4NL: You don't win so much because even if 80% is correct, you have to check this. And then the the 20% which is not correct in an improved version.	
33:16.9 - 33:17.9	T4NL: You have to	
33:19.0 - 33:24.6	T4NL: to redo all this, so I wonder if you win much time with this.	
33:27.4 - 33:54.8	Interviewer: And do you think that in language combinations that are that publishing houses don't usually buy, so for example in language combinations like Romanian-Dutch or Macedonian-Dutch or a Slovak-Dutch do you think machine translation can play a role in literary texts?	
33:57.4 - 33:58.4	T4NL: I have no idea.	
34:01.1 - 34:10.1	T4NL: I assume not, but even so... You mean like people who have a dialect. For example, if there is a dialect in English text.	
34:11.1 - 34:18.1	Interviewer: No, I mean that usually a lot of a translation happens from English	
34:20.5 - 34:39.4	Interviewer: So some languages lesser known languages like Slovak or Macedonian or Romanian don't get translated into Dutch so could machine translation play a role in translating this language combinations	
34:40.6 - 34:43.0	T4NL: I would not have been, I wouldn't trust it.	
34:44.8 - 34:45.4	Interviewer: Why	
34:46.3 - 34:58.6	T4NL: Because probably because I assume that if they go from Romanian to... for instance, the meaning that they go from Romanian to English and then from English to Dutch	
34:59.6 - 35:02.9	T4NL: It's like indirect translation. I mean,	
35:03.6 - 35:07.9	Interviewer: It could be, it could be direct as well. It could be in direct. Yes.	
35:08.9 - 35:14.0	T4NL: Yeah, well, then it's in general in my circles.	
35:15.2 - 35:23.8	T4NL: People don't trust indirect translations and use of machines for any kind of literary translations.	
35:25.1 - 35:29.6	Interviewer: Okay, so now that you live you live in Spain. Right.	
35:30.1 - 35:30.7	T4NL: Yes.	
35:31.7 - 35:33.0	Interviewer: Do you use	
35:34.1 - 35:34.6	Interviewer: Google	
35:34.6 - 35:40.8	Interviewer: Translate to understand the world around you in Spanish, or are you fluent in Spanish.	
35:41.9 - 35:47.2	T4NL: No, sometimes I use on my telephone. I use Google Translate to find a specific words.	
35:48.9 - 35:51.8	T4NL: In Spanish, to have the translated into Dutch	
35:52.5 - 35:56.2	T4NL: And half of time doesn't make any sense either	
